0.300	13.929
0.400	13.403
0.500	12.617
0.600	11.913
0.700	11.339
0.800	10.837
0.900	10.360
1.000	10.043
1.100	9.638
1.200	9.448
1.300	9.133
1.400	8.851
1.500	8.756
1.600	8.593
1.700	8.375
1.800	8.265
1.900	8.074
2.000	7.933
2.100	7.762
2.200	7.619
2.300	7.556
2.400	7.426
2.500	7.248
2.600	7.115
2.700	7.115
2.800	6.965
2.900	6.877
3.000	6.768
3.100	6.700
3.200	6.607
3.300	6.555
3.400	6.479
3.500	6.413
3.600	6.355
3.700	6.274
3.800	6.246
3.900	6.173
4.000	6.092
4.100	6.047
4.200	5.999
4.300	5.916
4.400	5.898
4.500	5.863
4.600	5.802
4.700	5.766
4.800	5.711
4.900	5.656
5.000	5.614
5.100	5.554
5.200	5.519
5.300	5.491
5.400	5.452
5.500	5.401
5.600	5.360
5.700	5.349
5.800	5.287
5.900	5.269
6.000	5.237
6.100	5.199
6.200	5.157
6.300	5.128
6.400	5.103
6.500	5.065
6.600	5.022
6.700	4.995
6.800	4.994
6.900	4.907
7.000	4.908
7.100	4.887
7.200	4.843
7.300	4.843
7.400	4.811
7.500	4.805
7.600	4.761
7.700	4.745
7.800	4.722
7.900	4.693
8.000	4.666
8.200	4.633
8.300	4.609
8.400	4.570
8.600	4.545
8.700	4.517
8.800	4.493
8.900	4.472
9.000	4.447
9.100	4.429
9.200	4.406
9.300	4.367
9.500	4.357
9.600	4.338
9.700	4.318
9.900	4.288
10.000	4.260
12.100	3.935
14.000	3.687
16.200	3.474
18.200	3.294
20.000	3.152
22.000	3.015
24.300	2.885
26.100	2.783
28.000	2.683
30.000	2.594
32.000	2.512
34.000	2.440
36.000	2.362
38.000	2.304
40.900	2.210
45.000	2.098
50.000	1.976
55.400	1.858
60.000	1.768
65.000	1.677
70.000	1.605
75.000	1.516
80.200	1.453
92.400	1.307
95.400	1.278
100.000	1.239
105.100	1.191
110.000	1.144
115.100	1.090
120.500	1.046
125.000	1.006
130.000	0.949
135.100	0.914
140.000	0.879
145.500	0.851
150.000	0.803
155.400	0.761
160.100	0.737
165.300	0.702
170.800	0.674
175.400	0.655
180.000	0.627
185.200	0.611
190.300	0.587
196.000	0.551
200.700	0.529
206.300	0.498
210.000	0.479
215.200	0.457
220.000	0.425
225.200	0.407
231.600	0.386
235.300	0.364
240.100	0.343
246.600	0.298
250.000	0.298
255.200	0.261
260.400	0.247
265.200	0.223
270.000	0.199
275.800	0.170
280.000	0.150
285.500	0.119
290.100	0.095
295.000	0.076
