5.000	9.036
10.100	5.537
15.000	4.498
22.400	3.724
25.000	3.553
30.200	3.271
35.200	3.040
41.400	2.789
45.200	2.691
50.100	2.552
55.200	2.458
60.200	2.345
65.100	2.239
72.100	2.105
75.600	2.050
80.000	1.995
86.900	1.864
90.100	1.848
95.000	1.764
100.000	1.710
105.100	1.702
111.600	1.596
115.700	1.559
120.400	1.506
126.000	1.459
130.100	1.442
135.200	1.381
140.000	1.349
145.600	1.298
150.200	1.266
155.300	1.213
160.900	1.213
165.400	1.188
170.000	1.140
175.500	1.105
180.100	1.102
185.400	1.066
190.100	1.029
195.300	0.971
200.300	0.958
205.800	0.936
210.800	0.911
215.700	0.883
221.900	0.881
225.200	0.856
230.200	0.826
235.100	0.803
240.400	0.746
249.100	0.773
255.200	0.728
261.800	0.679
265.900	0.669
270.100	0.624
275.100	0.600
280.500	0.588
285.100	0.573
290.000	0.564
